ship_to_key,ship_to_name,city,state,months_active,first_month,last_month,avg_breadth,peak_breadth,slope_skus_per_month,bucket
NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,NATALIES CANDY AT SEA-TAC  AP,Seattle,WA,9,2025-07,2026-05,4,6,0.027,Flat
GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,GOTHAM NEWS-MOYNIHAN TRAIN HALL,Dayton,NJ,5,2025-08,2026-03,3.4,5,0.027,Flat
LA PALMAS OASIS-PSP AP|Palm Springs|CA|92262|US,LA PALMAS OASIS-PSP AP,Palm Springs,CA,1,2025-12,2025-12,3,3,0.0,Flat
SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,SILICON VALLEY NEWS-SFO AP,San Francisco,CA,7,2025-07,2026-05,4.14,5,-0.027,Flat
CAPITOL FILE-DCA AP (T-CNC-7)|Dayton|NJ|08810|US,CAPITOL FILE-DCA AP (T-CNC-7),Dayton,NJ,5,2025-07,2026-03,3.4,5,-0.027,Flat
LA CONFIDENTIAL- LAX AP|El Segundo|CA|90245|US,LA CONFIDENTIAL- LAX AP,El Segundo,CA,4,2025-07,2026-03,3.25,5,-0.036,Flat
SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,SHOREPOINTS MARKET-EWR AIRPORT (T1),DAYTON,NJ,8,2025-07,2026-04,3,7,-0.036,Flat
THE SCOOP AT SFO AP|San Francisco|CA|94128|US,THE SCOOP AT SFO AP,San Francisco,CA,1,2025-10,2025-10,2,2,-0.036,Flat
UPTOWN KIOSK 2-PHX AP|Phoenix|AZ|85034|US,UPTOWN KIOSK 2-PHX AP,Phoenix,AZ,7,2025-08,2026-03,3.86,6,-0.082,Contracting
THE WELL - SMF AP|Sacramento|CA|95837|US,THE WELL - SMF AP,Sacramento,CA,5,2025-07,2026-04,3.6,6,-0.082,Contracting
AK BOULEVARD-LAX AP|El Segundo|CA|90245|US,AK BOULEVARD-LAX AP,El Segundo,CA,1,2025-10,2025-10,5,5,-0.091,Contracting
WLV - FORUM SHOPS 0282|LAS VEGAS|NV|89109|US,WLV - FORUM SHOPS 0282,LAS VEGAS,NV,1,2025-10,2025-10,5,5,-0.091,Contracting
WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,WH SMITH-DCA AP (T-CNC3),Dayton,NJ,4,2025-07,2026-04,2.75,3,-0.091,Contracting
THE ARTS DISTRICT MKT-BNA AP|Nashville|TN|37214|US,THE ARTS DISTRICT MKT-BNA AP,Nashville,TN,1,2025-08,2025-08,3,3,-0.109,Contracting
WHSMITH C/O HYPERION|DENVER|CO|80203|US,WHSMITH C/O HYPERION,DENVER,CO,2,2025-09,2025-11,3,3,-0.109,Contracting
DISTRICT MARKET-LGA AP|Dayton|NJ|08810|US,DISTRICT MARKET-LGA AP,Dayton,NJ,5,2025-07,2026-03,2.4,3,-0.109,Contracting
16TH & DOLORES-SFO AP (T2)|San Francisco|CA|94128|US,16TH & DOLORES-SFO AP (T2),San Francisco,CA,1,2025-09,2025-09,5,5,-0.136,Contracting
0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,0446 GOTHAM NEWS-MOYNIHAN TRAIN HALL,Dayton,NJ,1,2025-07,2025-07,3,3,-0.136,Contracting
0522 SLC Public Market-SPace #CAE 2-003|Salt Lake City|UT|84116|US,0522 SLC Public Market-SPace #CAE 2-003,Salt Lake City,UT,3,2025-07,2025-12,2.33,3,-0.145,Contracting
FLIGHT STOP-DEN AIRPORT (GATE 33 &  55)|Denver|CO|80203|US,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55),Denver,CO,7,2025-08,2026-04,3.86,5,-0.182,Contracting
0449 EASTERN MARKET-DCA|Dayton|NJ|08810|US,0449 EASTERN MARKET-DCA,Dayton,NJ,5,2025-07,2026-02,4,6,-0.227,Contracting
SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,SIX POINTS MARKET-ORD AP,Chicago,IL,7,2025-07,2026-03,3.14,5,-0.245,Contracting
0430 Motown Greatest Hits #430 Suite 3-2|Detroit|MI|48242|US,0430 Motown Greatest Hits #430 Suite 3-2,Detroit,MI,5,2025-08,2025-12,3.2,5,-0.327,Contracting
0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,0440 DC ARTS DISTRICT MARKET-DCA,Dayton,NJ,4,2025-07,2026-02,3.75,5,-0.355,Contracting
