so_id,so_num,date_issued,date_first_ship,status,ship_to_key,ship_to_name,ship_to_city,ship_to_state,ship_to_zip,ship_to_country,sku,customer_part,description,line_type,qty_ordered,qty_fulfilled,unit_price,total_price,total_cost,date_last_fulfillment
157231,1481370,2026-04-17 07:24:55.970000,2026-04-20 00:00:00,Fulfilled,PUBLIC MARKET-SLC AP|Salt Lake City|UT|84116|US,PUBLIC MARKET-SLC AP,Salt Lake City,UT,84116,US,1801758,,"TC-LSL-004, Vosges Maison Truffle Collection 4PC, Purple Box w/Ribbon",Sale,12.000000000,12.000000000,7.000000000,84.000000000,25.470014712,2026-04-20 11:18:44.972000
157232,1481371,2026-04-17 07:26:51.517000,2026-04-20 00:00:00,Fulfilled,WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,WH SMITH-DCA AP (T-CNC3),Dayton,NJ,08810,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.614637980,2026-04-20 13:25:23.799000
157232,1481371,2026-04-17 07:26:51.517000,2026-04-20 00:00:00,Fulfilled,WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,WH SMITH-DCA AP (T-CNC3),Dayton,NJ,08810,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,15.655077108,2026-04-20 13:25:23.799000
157232,1481371,2026-04-17 07:26:51.517000,2026-04-20 00:00:00,Fulfilled,WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,WH SMITH-DCA AP (T-CNC3),Dayton,NJ,08810,US,1801004,,"CB-SPD-BAN Bar - Coconut & Banana Super Dark Chocolate Bar, 3 oz.",Sale,24.000000000,24.000000000,5.040000000,120.960000000,41.581603368,2026-04-20 13:25:23.799000
157233,1481372,2026-04-17 07:33:14.781000,2026-04-20 00:00:00,Fulfilled,THE WELL - SMF AP|Sacramento|CA|95837|US,THE WELL - SMF AP,Sacramento,CA,95837,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.614637980,2026-04-20 12:00:47.596000
157233,1481372,2026-04-17 07:33:14.781000,2026-04-20 00:00:00,Fulfilled,THE WELL - SMF AP|Sacramento|CA|95837|US,THE WELL - SMF AP,Sacramento,CA,95837,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,15.655077108,2026-04-20 12:00:47.596000
157233,1481372,2026-04-17 07:33:14.781000,2026-04-20 00:00:00,Fulfilled,THE WELL - SMF AP|Sacramento|CA|95837|US,THE WELL - SMF AP,Sacramento,CA,95837,US,1801022,,"CB-EXO-BAR Bar- Barcelona Exotic Chocolate Bar, 3oz",Sale,24.000000000,24.000000000,5.040000000,120.960000000,42.529920000,2026-04-20 12:00:47.596000
157234,1481373,2026-04-17 07:35:10.143000,2026-04-20 00:00:00,Fulfilled,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,SHOREPOINTS MARKET-EWR AIRPORT (T1),DAYTON,NJ,08810,US,1801027,,CF-CAR-6-SEA-W Caramel - Red Hawaiian Salt Caramel 6PC,Sale,48.000000000,48.000000000,7.500000000,360.000000000,112.447708032,2026-04-20 13:48:01.591000
157235,1481374,2026-04-17 07:36:48.691000,2026-04-20 00:00:00,Fulfilled,Eastbank Market @ PDX|Portland|OR|97220|US,Eastbank Market @ PDX,Portland,OR,97220,US,1801009,,"CB-SPD-GRE Bar - Matcha Green Tea Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,22.614637980,2026-04-20 13:25:24.284000
157235,1481374,2026-04-17 07:36:48.691000,2026-04-20 00:00:00,Fulfilled,Eastbank Market @ PDX|Portland|OR|97220|US,Eastbank Market @ PDX,Portland,OR,97220,US,1801012,,"CB-EXO-PHC Bar - Pink Himalayan Crystal Salt Caramel Exotic Chocolate Bar, 3 oz.",Sale,12.000000000,12.000000000,5.040000000,60.480000000,15.655077108,2026-04-20 13:25:24.284000
